epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,521.97,1.4504,0.82863,1.0345,0.75278,0.68747,0.72885,0.4039,1.45651,0.82812,1.05593,0.00048275,0.00048275,0.00048275
64,530.067,1.42855,0.80848,1.02082,0.77058,0.69753,0.74484,0.41314,1.44686,0.82876,1.05171,0.000470375,0.000470375,0.000470375
65,538.209,1.43496,0.81603,1.02281,0.76234,0.71566,0.74304,0.40378,1.47861,0.85412,1.06752,0.000458,0.000458,0.000458
66,546.398,1.4369,0.81944,1.02406,0.76224,0.69346,0.73997,0.40494,1.47941,0.84932,1.07215,0.000445625,0.000445625,0.000445625
67,554.282,1.42788,0.81394,1.02068,0.75138,0.68663,0.73343,0.40564,1.44378,0.85335,1.05356,0.00043325,0.00043325,0.00043325
68,562.451,1.42981,0.81112,1.01905,0.70362,0.7179,0.73198,0.40159,1.47235,0.8458,1.06216,0.000420875,0.000420875,0.000420875
69,570.525,1.41008,0.79759,1.01713,0.72405,0.68628,0.73021,0.40268,1.46232,0.86594,1.06217,0.0004085,0.0004085,0.0004085
70,578.573,1.42569,0.80358,1.01834,0.74096,0.71739,0.74037,0.40213,1.47739,0.84404,1.06157,0.000396125,0.000396125,0.000396125
71,586.401,1.40043,0.79435,1.01975,0.7458,0.712,0.74094,0.40411,1.47165,0.84677,1.05972,0.00038375,0.00038375,0.00038375
72,594.447,1.41816,0.79979,1.01769,0.77068,0.69711,0.73969,0.41226,1.46675,0.84214,1.05916,0.000371375,0.000371375,0.000371375
73,602.682,1.41901,0.80551,1.0205,0.7817,0.68547,0.74099,0.40966,1.46368,0.83393,1.06184,0.000359,0.000359,0.000359
74,610.744,1.40805,0.79649,1.01723,0.75979,0.6908,0.73356,0.3987,1.49058,0.83926,1.07071,0.000346625,0.000346625,0.000346625
75,618.708,1.40617,0.79389,1.01244,0.76237,0.69517,0.74179,0.41017,1.45911,0.83793,1.06028,0.00033425,0.00033425,0.00033425
76,626.707,1.4046,0.79146,1.00871,0.75621,0.68492,0.73669,0.40508,1.46326,0.84066,1.06079,0.000321875,0.000321875,0.000321875
77,634.791,1.40368,0.78863,1.01509,0.7313,0.7046,0.73874,0.40494,1.46535,0.843,1.06332,0.0003095,0.0003095,0.0003095
78,643,1.40354,0.77791,1.01364,0.7369,0.70028,0.73926,0.41375,1.45843,0.83294,1.06014,0.000297125,0.000297125,0.000297125
79,651.128,1.40869,0.7865,1.01325,0.74543,0.70449,0.73894,0.40612,1.46471,0.83438,1.0654,0.00028475,0.00028475,0.00028475
80,659.307,1.39621,0.77642,1.00895,0.77798,0.70082,0.74672,0.41126,1.4627,0.82631,1.06795,0.000272375,0.000272375,0.000272375
81,667.378,1.37512,0.76304,1.00776,0.75858,0.69718,0.73589,0.40479,1.46561,0.83586,1.06444,0.00026,0.00026,0.00026
82,675.508,1.38399,0.76463,1.0084,0.75701,0.68655,0.7351,0.40722,1.46748,0.82504,1.0642,0.000247625,0.000247625,0.000247625
83,683.71,1.39198,0.77875,1.00959,0.72143,0.72405,0.74766,0.40975,1.4592,0.82925,1.06226,0.00023525,0.00023525,0.00023525
84,691.803,1.39849,0.77534,1.00615,0.74814,0.71256,0.74189,0.41017,1.47168,0.82716,1.0677,0.000222875,0.000222875,0.000222875
85,699.966,1.39167,0.77142,1.00638,0.75432,0.72357,0.74813,0.41042,1.46847,0.82602,1.06074,0.0002105,0.0002105,0.0002105
86,708.043,1.37563,0.76603,1.00177,0.7475,0.7035,0.74213,0.40867,1.4616,0.82222,1.06215,0.000198125,0.000198125,0.000198125
87,716.069,1.38604,0.76969,1.00263,0.75432,0.70844,0.7433,0.41065,1.46376,0.82535,1.06371,0.00018575,0.00018575,0.00018575
88,724.155,1.38335,0.76439,1.00245,0.74177,0.70982,0.74115,0.40974,1.47086,0.8249,1.06539,0.000173375,0.000173375,0.000173375
89,732.136,1.35796,0.74783,0.99913,0.7333,0.7074,0.73553,0.40735,1.47417,0.82904,1.07041,0.000161,0.000161,0.000161
